06/19/2021,Hà Tĩnh,01/01/1900,Tối
06/19/2021,Nghệ An,12/31/1899,Tối
06/19/2021,Nam Định,12/31/1899,Tối
06/20/2021,TP. Hồ Chí Minh,02/14/1900,Sáng
06/20/2021,Bắc Giang,01/19/1900,Sáng
06/20/2021,Bắc Ninh,01/06/1900,Sáng
06/20/2021,Nghệ An,01/02/1900,Sáng
06/20/2021,Tây Ninh,01/03/1900,Trưa
06/20/2021,Thái Bình,01/01/1900,Trưa
06/20/2021,Kiên Giang,01/01/1900,Trưa
06/20/2021,Bình Dương,12/31/1899,Trưa
06/20/2021,Bắc Giang,02/21/1900,Trưa
06/20/2021,TP. Hồ Chí Minh,02/02/1900,Trưa
06/20/2021,Đà Nẵng,01/17/1900,Trưa
06/20/2021,Bình Dương,01/12/1900,Trưa
06/20/2021,Bắc Ninh,01/08/1900,Trưa
06/20/2021,Hà Tĩnh,12/31/1899,Trưa
06/20/2021,Quảng Nam,12/31/1899,Trưa
06/20/2021,TP. Hồ Chí Minh,02/25/1900,Tối
06/20/2021,Bắc Giang,01/22/1900,Tối
06/20/2021,Đà Nẵng,01/08/1900,Tối
06/20/2021,Bắc Ninh,01/02/1900,Tối
06/20/2021,Nghệ An,01/01/1900,Tối
